,Sentence_#,Word,Tag
0,0,Govardhana,NAME
1,0,K,NAME
2,0,Senior,PROFIL
3,0,Software,PROFIL
4,0,Engineer,PROFIL
5,0,Bengaluru,LOCATION
6,0,",",O
7,0,"Karnataka,",O
8,0,Karnataka,O
9,0,Email,O
10,0,me,O
11,0,on,O
12,0,Indeed,O
13,0,indeed.com/r/Govardhana-K/,EMAIL_ADDRESS
14,0,b2de315d95905b68,EMAIL_ADDRESS
15,0,Total,O
16,0,IT,O
17,0,experience,O
18,0,5,YEARS_OF_EXPERIENCE
19,0,Years,YEARS_OF_EXPERIENCE
20,0,6,YEARS_OF_EXPERIENCE
21,0,Months,O
22,0,Cloud,COMPANIES_WORKED_AT
23,0,Lending,COMPANIES_WORKED_AT
24,0,Solutions,COMPANIES_WORKED_AT
25,0,INC,O
26,0,4,YEARS_OF_EXPERIENCE
27,0,Month,O
28,0,Salesforce,O
29,0,Developer,O
30,0,Oracle,COMPANIES_WORKED_AT
31,0,5,YEARS_OF_EXPERIENCE
32,0,Years,YEARS_OF_EXPERIENCE
33,0,2,YEARS_OF_EXPERIENCE
34,0,Month,O
35,0,Core,O
36,0,Java,O
37,0,Developer,O
38,0,Languages,O
39,0,Core,O
40,0,"Java,",O
41,0,Go,O
42,0,Lang,O
43,0,Oracle,COMPANIES_WORKED_AT
44,0,PL-SQL,O
45,0,"programming,",O
46,0,Sales,O
47,0,Force,O
48,0,Developer,O
49,0,with,O
50,0,APEX.,O
51,1,Profils,O
52,1,&,O
53,1,Promotions,O
54,1,Willing,O
55,1,to,O
56,1,relocate,O
57,1,Anywhere,O
58,1,WORK,O
59,1,EXPERIENCE,O
60,1,Senior,PROFIL
61,1,Software,PROFIL
62,1,Engineer,PROFIL
63,1,Cloud,COMPANIES_WORKED_AT
64,1,Lending,COMPANIES_WORKED_AT
65,1,Solutions,COMPANIES_WORKED_AT
66,1,"Bangalore,",O
67,1,Karnataka,O
68,1,January,O
69,1,2018,DATE
70,1,to,O
71,1,Present,O
72,1,Present,O
73,1,Senior,PROFIL
74,1,Consultant,PROFIL
75,1,Oracle,COMPANIES_WORKED_AT
76,1,"Bangalore,",O
77,1,Karnataka,O
78,1,November,O
79,1,2016,DATE
80,1,to,O
81,1,December,O
82,1,2017,DATE
83,1,Staff,PROFIL
84,1,Consultant,PROFIL
85,1,Oracle,COMPANIES_WORKED_AT
86,1,"Bangalore,",O
87,1,Karnataka,O
88,1,January,O
89,1,2014,DATE
90,1,to,O
91,1,October,O
92,1,2016,DATE
93,1,Associate,PROFIL
94,1,Consultant,PROFIL
95,1,Oracle,COMPANIES_WORKED_AT
96,1,"Bangalore,",O
97,1,Karnataka,O
98,1,November,O
99,1,to,O
100,1,December,O
101,1,2013,DATE
102,1,EDUCATION,O
103,1,B.E,DEGREE
104,1,in,DEGREE
105,1,Computer,DEGREE
106,1,Science,DEGREE
107,1,Engineering,DEGREE
108,1,Adithya,COLLEGE_NAME
109,1,Institute,COLLEGE_NAME
110,1,of,COLLEGE_NAME
111,1,Technology,COLLEGE_NAME
112,1,Tamil,O
113,1,Nadu,O
114,1,September,O
115,1,2008,DATE
116,1,to,O
117,1,June,O
118,1,https://www.indeed.com/r/Govardhana-K/b2de315d95905b68?isid=rex-download&ikw=download-top&co=IN,O
119,1,https://www.indeed.com/r/Govardhana-K/b2de315d95905b68?isid=rex-download&ikw=download-top&co=IN,O
120,1,SKILLS,O
121,1,APEX.,SKILLS
122,2,Less,SKILLS
123,2,than,SKILLS
124,2,1,YEARS_OF_EXPERIENCE
125,2,"year,",SKILLS
126,2,Data,SKILLS
127,2,Structures,SKILLS
128,2,3,YEARS_OF_EXPERIENCE
129,2,"years,",YEARS_OF_EXPERIENCE
130,2,FLEXCUBE,SKILLS
131,2,5,YEARS_OF_EXPERIENCE
132,2,"years,",YEARS_OF_EXPERIENCE
133,2,Oracle,SKILLS
134,2,5,YEARS_OF_EXPERIENCE
135,2,"years,",YEARS_OF_EXPERIENCE
136,2,Algorithms,SKILLS
137,2,3,YEARS_OF_EXPERIENCE
138,2,years,YEARS_OF_EXPERIENCE
139,2,LINKS,O
140,2,https://www.linkedin.com/in/govardhana-k-61024944/,O
141,2,ADDITIONAL,O
142,2,INFORMATION,O
143,2,Technical,O
144,2,Proficiency,O
145,2,Languages,SKILLS
146,2,Core,SKILLS
147,2,"Java,",SKILLS
148,2,Go,SKILLS
149,2,"Lang,",SKILLS
150,2,Data,SKILLS
151,2,Structures,SKILLS
152,2,&,SKILLS
153,2,"Algorithms,",SKILLS
154,2,Oracle,SKILLS
155,2,PL-SQL,SKILLS
156,2,"programming,",SKILLS
157,2,Sales,SKILLS
158,2,Force,SKILLS
159,2,with,SKILLS
160,2,APEX.,SKILLS
161,3,Tools,SKILLS
162,3,"RADTool,",SKILLS
163,3,"Jdeveloper,",SKILLS
164,3,"NetBeans,",SKILLS
165,3,"Eclipse,",SKILLS
166,3,SQL,SKILLS
167,3,"developer,",SKILLS
168,3,PL/SQL,SKILLS
169,3,"Developer,",SKILLS
170,3,"WinSCP,",SKILLS
171,3,Putty,SKILLS
172,3,Web,SKILLS
173,3,Technologies,SKILLS
174,3,"JavaScript,",SKILLS
175,3,"XML,",SKILLS
176,3,"HTML,",SKILLS
177,3,Webservice,SKILLS
178,3,Operating,SKILLS
179,3,Systems,SKILLS
180,3,"Linux,",SKILLS
181,3,Windows,SKILLS
182,3,Version,SKILLS
183,3,control,SKILLS
184,3,system,SKILLS
185,3,SVN,SKILLS
186,3,&,SKILLS
187,3,Git-Hub,SKILLS
188,3,Databases,SKILLS
189,3,Oracle,SKILLS
190,3,Middleware,SKILLS
191,3,Web,SKILLS
192,3,"logic,",SKILLS
193,3,OC4J,SKILLS
194,3,Product,SKILLS
195,3,FLEXCUBE,SKILLS
196,3,Oracle,SKILLS
197,3,FLEXCUBE,SKILLS
198,3,Versions,SKILLS
199,3,"10.x,",SKILLS
200,3,11.x,SKILLS
201,3,and,SKILLS
202,3,12.x,SKILLS
203,3,h,COMPANIES_WORKED_AT
204,3,ttps://www.linkedin.com/in/govardhana-k-61024944/,O
205,3,Harini,NAME
206,3,Komaravelli,NAME
207,3,Test,PROFIL
208,3,Analyst,PROFIL
209,3,at,O
210,3,Oracle,COMPANIES_WORKED_AT
211,3,",",O
212,3,Hyderabad,LOCATION
213,3,Hyderabad,LOCATION
214,3,",",O
215,3,Telangana,O
216,3,Email,O
217,3,me,O
218,3,on,O
219,3,Indeed,O
220,3,Komaravelli/2659eee82e435d1b,O
221,3,?,O
222,4,6,YEARS_OF_EXPERIENCE
223,4,Yrs,YEARS_OF_EXPERIENCE
224,4,of,O
225,4,IT,O
226,4,Experience,O
227,4,in,O
228,4,Manual,PROFIL
229,4,and,PROFIL
230,4,Automation,PROFIL
231,4,testing.,PROFIL
232,5,WORK,O
233,5,EXPERIENCE,O
234,5,QA,PROFIL
235,5,Analyst,PROFIL
236,5,Oracle,COMPANIES_WORKED_AT
237,5,Test,PROFIL
238,5,Analyst,PROFIL
239,5,at,O
240,5,Oracle,COMPANIES_WORKED_AT
241,5,",",O
242,5,Hyderabad,LOCATION
243,5,Infosys,O
244,5,Ltd,O
245,5,Hyderabad,LOCATION
246,5,",",O
247,5,Telangana,O
248,5,November,O
249,5,2011,DATE
250,5,to,O
251,5,February,O
252,5,2016,DATE
253,5,Hyderabad,LOCATION
254,5,from,O
255,5,Nov,O
256,5,2011,DATE
257,5,to,O
258,5,Feb17,O
259,5,2016,DATE
260,5,?,O
261,6,Worked,O
262,6,in,O
263,6,Tata,O
264,6,Consultancy,O
265,6,"Services,",O
266,6,Hyderabad,LOCATION
267,6,from,O
268,6,Feb,O
269,6,24,O
270,6,to,O
271,6,Apr,O
272,6,11,O
273,6,2017,DATE
274,6,?,O
275,7,Currently,O
276,7,working,O
277,7,as,O
278,7,a,O
279,7,Test,PROFIL
280,7,Analyst,PROFIL
281,7,at,O
282,7,Oracle,COMPANIES_WORKED_AT
283,7,",",O
284,7,Hyderabad,LOCATION
285,7,QA,PROFIL
286,7,Analyst,PROFIL
287,7,with,O
288,7,6,YEARS_OF_EXPERIENCE
289,7,years,YEARS_OF_EXPERIENCE
290,7,of,O
291,7,IT,O
292,7,experience,O
293,7,Oracle,COMPANIES_WORKED_AT
294,7,EDUCATION,O
295,7,MCA,DEGREE
296,7,Osmania,COLLEGE_NAME
297,7,University,COLLEGE_NAME
298,7,B.Sc.,DEGREE
299,8,in,DEGREE
300,8,Computer,DEGREE
301,8,Science,DEGREE
302,8,Osmania,COLLEGE_NAME
303,8,University,COLLEGE_NAME
304,8,SKILLS,O
305,8,Functional,SKILLS
306,8,"Testing,",SKILLS
307,8,Blue,SKILLS
308,8,"Prism,",SKILLS
309,8,Qtp,SKILLS
310,8,ADDITIONAL,O
311,8,INFORMATION,O
312,8,Area,O
313,8,of,O
314,8,Expertise,O
315,8,?,O
316,9,Familiar,O
317,9,with,O
318,9,Agile,O
319,9,Methodologies.,O
320,10,Having,O
321,10,knowledge,O
322,10,in,O
323,10,Energy,O
324,10,Petroleum,O
325,10,&,O
326,10,Health,O
327,10,Care,O
328,10,domains.,O
329,11,Involved,O
330,11,in,O
331,11,preparation,O
332,11,of,O
333,11,Test,O
334,11,Scenarios.,O
335,12,Preparing,O
336,12,Test,O
337,12,Data,O
338,12,for,O
339,12,the,O
340,12,test,O
341,12,cases.,O
342,13,https://www.indeed.com/r/Harini-Komaravelli/2659eee82e435d1b?isid=rex-download&ikw=download-top&co=IN,O
343,13,https://www.indeed.com/r/Harini-Komaravelli/2659eee82e435d1b?isid=rex-download&ikw=download-top&co=IN,O
344,13,?,O
345,14,Experienced,O
346,14,in,O
347,14,development,O
348,14,and,O
349,14,execution,O
350,14,of,O
351,14,Test,O
352,14,cases,O
353,14,effectively.,O
354,15,Experienced,O
355,15,in,O
356,15,Functional,O
357,15,"testing,",O
358,15,GUI,O
359,15,"testing,",O
360,15,Smoke,O
361,15,"testing,",O
362,15,Regression,O
363,15,testing,O
364,15,and,O
365,15,Integration,O
366,15,Testing,O
367,15,?,O
368,16,Experienced,O
369,16,in,O
370,16,doing,O
371,16,Accessibility,O
372,16,testing,O
373,16,of,O
374,16,an,O
375,16,application,O
376,16,?,O
377,17,Ability,O
378,17,to,O
379,17,understand,O
380,17,user,O
381,17,"Requirements,",O
382,17,Functional,O
383,17,and,O
384,17,Design,O
385,17,specifications.,O
386,18,Good,O
387,18,knowledge,O
388,18,of,O
389,18,SDLC,O
390,18,and,O
391,18,STLC,O
392,18,processes.,O
393,19,Deciding,O
394,19,the,O
395,19,Severity,O
396,19,and,O
397,19,Priority,O
398,19,of,O
399,19,bugs.,O
400,20,Experience,O
401,20,in,O
402,20,using,O
403,20,Microsoft,O
404,20,Test,O
405,20,Manager,O
406,20,&,O
407,20,Oracle,COMPANIES_WORKED_AT
408,20,Test,O
409,20,Manager,O
410,20,as,O
411,20,Test,O
412,20,Management,O
413,20,Tools.,O
414,21,Having,O
415,21,good,O
416,21,experience,O
417,21,in,O
418,21,testing,O
419,21,windows,O
420,21,based,O
421,21,&,O
422,21,web,O
423,21,based,O
424,21,applications.,O
425,22,Involved,O
426,22,in,O
427,22,Client,O
428,22,Interactions,O
429,22,for,O
430,22,"reviews,",O
431,22,issues,O
432,22,and,O
433,22,for,O
434,22,any,O
435,22,clarifications.,O
436,23,Writing,O
437,23,Test,O
438,23,Scripts,O
439,23,in,O
440,23,"QTP,",O
441,23,Testcomplete.,O
442,24,Creating,O
443,24,Object,O
444,24,Repositories,O
445,24,and,O
446,24,Function,O
447,24,Libraries,O
448,24,in,O
449,24,QTP.,O
450,25,Enhanced,O
451,25,QTP,O
452,25,scripts,O
453,25,using,O
454,25,VB,O
455,25,Script.,O
456,26,Strong,O
457,26,experience,O
458,26,in,O
459,26,working,O
460,26,with,O
461,26,Blue,O
462,26,Prism,O
463,26,tool,O
464,26,?,O
465,27,Worked,O
466,27,on,O
467,27,different,O
468,27,Environments,O
469,27,like,O
470,27,Windows,O
471,27,Application,O
472,27,&,O
473,27,Web,O
474,27,Application,O
475,27,Technical,O
476,27,Skills,O
477,27,?,O
478,28,Test,O
479,28,Automation,O
480,28,Tools,O
481,28,Blue,O
482,28,"Prism,",O
483,28,QTP,O
484,28,"10.0,",O
485,28,Testcomplete,O
486,28,?,O
487,29,Test,O
488,29,Management,O
489,29,Tool,O
490,29,Microsoft,O
491,29,Test,O
492,29,"Manager,",O
493,29,Oracle,COMPANIES_WORKED_AT
494,29,Test,O
495,29,Manager,O
496,29,&,O
497,29,JIRA,O
498,29,?,O
499,30,Databases,O
500,30,Oracle,COMPANIES_WORKED_AT
501,30,"10g,",O
502,30,SQL,O
503,30,Server.,O
504,31,Operating,O
505,31,Systems,O
506,31,Windows,O
507,31,7,YEARS_OF_EXPERIENCE
508,31,Project,O
509,31,1,O
510,31,Title,O
511,31,Cadence,O
512,31,Client,O
513,31,Baker,O
514,31,Hughes,O
515,31,Technologies,O
516,31,Microsoft,O
517,31,Visual,O
518,31,Studio,O
519,31,and,O
520,31,Microsoft,O
521,31,Team,O
522,31,Foundation,O
523,31,Server,O
524,31,Client,O
525,31,Background,O
526,31,An,O
527,31,oilfield,O
528,31,services,O
529,31,company,O
530,31,delivering,O
531,31,focused,O
532,31,efforts,O
533,31,on,O
534,31,shale,O
535,31,gas,O
536,31,and,O
537,31,other,O
538,31,oilfield,O
539,31,services.,O
540,32,It,O
541,32,provides,O
542,32,"services,",O
543,32,tools,O
544,32,and,O
545,32,software,O
546,32,for,O
547,32,drilling,O
548,32,and,O
549,32,formation,O
550,32,"evaluation,",O
551,32,well,O
552,32,"completion,",O
553,32,production,O
554,32,"management,",O
555,32,seismic,O
556,32,data,O
557,32,collection,O
558,32,and,O
559,32,interpretation.,O
560,33,Project,O
561,33,Description,O
562,33,AUT,O
563,33,Application,O
564,33,under,O
565,33,test,O
566,33,is,O
567,33,the,O
568,33,next,O
569,33,generation,O
570,33,"revolutionary,",O
571,33,"robust,",O
572,33,easy,O
573,33,to,O
574,33,use,O
575,33,scalable,O
576,33,well,O
577,33,site,O
578,33,data,O
579,33,acquisition,O
580,33,processing,O
581,33,and,O
582,33,interpretation,O
583,33,system,O
584,33,for,O
585,33,Client's,O
586,33,Drilling,O
587,33,Services,O
588,33,to,O
589,33,deliver,O
590,33,services,O
591,33,that,O
592,33,meets,O
593,33,cross,O
594,33,divisional,O
595,33,business,O
596,33,requirements,O
597,33,consistently.,O
598,34,Project,O
599,34,2,O
600,34,Description,O
601,34,Paragon,O
602,34,supports,O
603,34,your,O
604,34,entire,O
605,34,care,O
606,34,team,O
607,34,with,O
608,34,one,O
609,34,tool,O
610,34,that,O
611,34,your,O
612,34,clinicians,O
613,34,need,O
614,34,to,O
615,34,help,O
616,34,deliver,O
617,34,the,O
618,34,best,O
619,34,patient,O
620,34,care.,O
621,35,Designed,O
622,35,by,O
623,35,"physicians,",O
624,35,"nurses,",O
625,35,pharmacists,O
626,35,and,O
627,35,mid,O
628,35,level,O
629,35,providers,O
630,35,that,O
631,35,have,O
632,35,a,O
633,35,first-hand,O
634,35,understanding,O
635,35,of,O
636,35,clinical,O
637,35,workflow,O
638,35,"needs,",O
639,35,Paragon,O
640,35,clinical,O
641,35,applications,O
642,35,allow,O
643,35,your,O
644,35,caregivers,O
645,35,to,O
646,35,focus,O
647,35,on,O
648,35,what,O
649,35,matters,O
650,35,most;,O
651,35,spending,O
652,35,time,O
653,35,caring,O
654,35,for,O
655,35,patients.,O
656,36,Since,O
657,36,Paragon,O
658,36,is,O
659,36,fully-integrated,O
660,36,across,O
661,36,all,O
662,36,applications,O
663,36,and,O
664,36,built,O
665,36,around,O
666,36,a,O
667,36,single,O
668,36,patient,O
669,36,"database,",O
670,36,information,O
671,36,entered,O
672,36,anywhere,O
673,36,in,O
674,36,the,O
675,36,system,O
676,36,is,O
677,36,immediately,O
678,36,available,O
679,36,to,O
680,36,the,O
681,36,entire,O
682,36,care,O
683,36,team.,O
684,37,Immediate,O
685,37,access,O
686,37,not,O
687,37,only,O
688,37,helps,O
689,37,clinicians,O
690,37,make,O
691,37,better,O
692,37,treatment,O
693,37,decisions,O
694,37,it,O
695,37,also,O
696,37,helps,O
697,37,promote,O
698,37,patient,O
699,37,safety.,O
700,38,Paragon,O
701,38,offers,O
702,38,a,O
703,38,broad,O
704,38,suite,O
705,38,of,O
706,38,multidisciplinary,O
707,38,clinical,O
708,38,software,O
709,38,solutions,O
710,38,together,O
711,38,with,O
712,38,"anytime,",O
713,38,anywhere,O
714,38,access,O
715,38,to,O
716,38,the,O
717,38,complete,O
718,38,patient,O
719,38,record.,O
720,39,Responsibilities,O
721,39,Performed,O
722,39,Smoke,O
723,39,testing,O
724,39,and,O
725,39,Regression,O
726,39,testing.,O
727,40,Involved,O
728,40,in,O
729,40,Generating,O
730,40,and,O
731,40,Executing,O
732,40,Test,O
733,40,Script,O
734,40,using,O
735,40,Quick,O
736,40,Test,O
737,40,Pro,O
738,40,&,O
739,40,Blue,O
740,40,Prism,O
741,40,Usability,O
742,40,and,O
743,40,User,O
744,40,Interface,O
745,40,Testing.,O
746,41,Involved,O
747,41,in,O
748,41,Defect,O
749,41,tracking,O
750,41,and,O
751,41,reporting,O
752,41,the,O
753,41,bugs,O
754,41,using,O
755,41,TFS,O
756,41,Participated,O
757,41,in,O
758,41,frequent,O
759,41,walk-through,O
760,41,meetings,O
761,41,with,O
762,41,Internal,O
763,41,Quality,O
764,41,Assurance,O
765,41,groups,O
766,41,and,O
767,41,with,O
768,41,development,O
769,41,groups.,O
770,42,Participated,O
771,42,in,O
772,42,client,O
773,42,calls,O
774,42,and,O
775,42,clarifying,O
776,42,the,O
777,42,doubts,O
778,42,by,O
779,42,having,O
780,42,AT&T,O
781,42,sessions,O
782,42,Involved,O
783,42,in,O
784,42,"functional,",O
785,42,regression,O
786,42,and,O
787,42,smoke,O
788,42,testing,O
789,42,to,O
790,42,validate,O
791,42,the,O
792,42,application,O
793,42,data,O
794,42,changes,O
795,42,done,O
796,42,in,O
797,42,windows,O
798,42,application,O
799,42,Certifying,O
800,42,the,O
801,42,build,O
802,42,status,O
803,42,by,O
804,42,running,O
805,42,the,O
806,42,scripts,O
807,42,as,O
808,42,part,O
809,42,of,O
810,42,smoke,O
811,42,testing,O
812,42,Project,O
813,42,3,O
814,42,Description,O
815,42,Food,O
816,42,&,O
817,42,Beverages,O
818,42,R&A,O
819,42,Easily,O
820,42,manage,O
821,42,business,O
822,42,across,O
823,42,multiple,O
824,42,locations,O
825,42,while,O
826,42,reducing,O
827,42,IT,O
828,42,cost,O
829,42,and,O
830,42,complexity.,O
831,43,Cloud-based,O
832,43,point-of-sale,O
833,43,POS,O
834,43,solutions,O
835,43,enable,O
836,43,centralized,O
837,43,enterprise,O
838,43,management,O
839,43,with,O
840,43,lower,O
841,43,upfront,O
842,43,costs,O
843,43,and,O
844,43,a,O
845,43,smaller,O
846,43,footprint.,O
847,44,Responsibilities,O
848,44,Performed,O
849,44,Functional,O
850,44,testing,O
851,44,and,O
852,44,Regression,O
853,44,testing.,O
854,45,Involved,O
855,45,in,O
856,45,Generating,O
857,45,and,O
858,45,Executing,O
859,45,Test,O
860,45,Scripts,O
861,45,using,O
862,45,Blue,O
863,45,Prism,O
864,45,tool,O
865,45,and,O
866,45,Open,O
867,45,script,O
868,45,Involved,O
869,45,in,O
870,45,preparing,O
871,45,bots,O
872,45,using,O
873,45,Blue,O
874,45,Prism,O
875,45,tool.,O
876,46,Accessibility,O
877,46,testing,O
878,46,of,O
879,46,the,O
880,46,web,O
881,46,application,O
882,46,Involved,O
883,46,in,O
884,46,Defect,O
885,46,tracking,O
886,46,and,O
887,46,reporting,O
888,46,the,O
889,46,bugs,O
890,46,using,O
891,46,JIRA,O
892,46,WebServices,O
893,46,testing,O
894,46,by,O
895,46,calling,O
896,46,API's,O
