Sentence #,Word,Tag
0,Govardhana,Name
0,K,Name
0,Senior,Profil
0,Software,Profil
0,Engineer,Profil
0,Bengaluru,Location
0,Karnataka,O
0,Total,O
0,IT,O
0,experience,O
0,5,Duration
0,Years,Duration
0,6,Duration
0,Months,Duration
0,Cloud,Companies worked at
0,Lending,Companies worked at
0,Solutions,Companies worked at
0,INC,O
0,4,O
0,Month,O
0,Salesforce,Profil
0,Developer,Profil
0,Oracle,Companies worked at
0,5,Duration
0,Years,Duration
1,2,Duration
1,Month,Duration
1,Core,Profil
1,Java,Profil
1,Developer,Profil
1,Languages,O
1,"Java,",Skills
1,Go,Skills
1,Lang,Skills
1,Oracle,Skills
1,PL-SQL,Skills
1,"programming,",O
1,Sales,Profil
1,Force,Profil
1,Developer,Profil
1,with,O
1,APEX.,Skills
1,Profils,O
1,&,O
1,Promotions,O
1,Willing,O
1,to,O
1,relocate:,O
1,Anywhere,O
1,WORK,O
2,EXPERIENCE,O
2,Senior,Profil
2,Software,Profil
2,Engineer,Profil
2,Cloud,Companies worked at
2,Lending,Companies worked at
2,Solutions,Companies worked at
2,-,O
2,"Bangalore,",Location
2,Karnataka,Location
2,-,O
2,January,Duration
2,2018,Duration
2,to,O
2,Present,Duration
2,Senior,Profil
2,Consultant,Profil
2,Oracle,Companies worked at
2,-,O
2,"Bangalore,",Location
2,Karnataka,Location
2,-,O
2,November,Duration
2,2016,Duration
2,to,O
3,December,Duration
3,2017,Duration
3,Staff,Profil
3,Consultant,Profil
3,Oracle,Companies worked at
3,-,O
3,"Bangalore,",Location
3,Karnataka,Location
3,-,O
3,January,Duration
3,2014,Duration
3,to,O
3,October,Duration
3,2016,Duration
3,Associate,Profil
3,Consultant,Profil
3,Oracle,Companies worked at
3,-,O
3,"Bangalore,",Location
3,Karnataka,Location
3,-,O
3,November,O
3,2012,Date
3,to,O
3,December,O
4,2013,O
4,EDUCATION,O
4,B.E,Degree
4,in,Degree
4,Computer,Degree
4,Science,Degree
4,Engineering,Degree
4,Adithya,College Name
4,Institute,College Name
4,of,College Name
4,Technology,College Name
4,-,O
4,Tamil,O
4,Nadu,O
4,September,O
4,2008,O
4,to,O
4,June,O
4,2012,Date
4,https://www.indeed.com/r/Govardhana-K/b2de315d95905b68?isid=rex-download&ikw=download-top&co=IN,O
4,https://www.indeed.com/r/Govardhana-K/b2de315d95905b68?isid=rex-download&ikw=download-top&co=IN,O
4,SKILLS,O
4,APEX.,Skills
4,Less,O
4,than,O
5,1,Duration
5,"year,",Duration
5,Data,Skills
5,Structures,Skills
5,3,Duration
5,"years,",Duration
5,FLEXCUBE,Skills
5,5,Duration
5,"years,",Duration
5,Oracle,Skills
5,5,Skills
5,"years,",Skills
5,Algorithms,Skills
5,3,Duration
5,years,Duration
5,LINKS,O
5,https://www.linkedin.com/in/govardhana-k-61024944/,O
5,ADDITIONAL,O
5,INFORMATION,O
5,Technical,O
5,Proficiency:,O
5,Languages:,Skills
5,Core,Skills
5,"Java,",Skills
5,Go,Skills
6,"Lang,",Skills
6,Data,Skills
6,Structures,Skills
6,&,O
6,"Algorithms,",Skills
6,Oracle,Skills
6,PL-SQL,Skills
6,"programming,",Skills
6,Sales,Skills
6,Force,Skills
6,with,Skills
6,APEX.,Skills
6,Tools:,Skills
6,"RADTool,",Skills
6,"Jdeveloper,",Skills
6,"NetBeans,",Skills
6,"Eclipse,",Skills
6,SQL,Skills
6,"developer,",Skills
6,PL/SQL,Skills
6,"Developer,",Skills
6,"WinSCP,",Skills
6,Putty,Skills
6,Web,Skills
6,Technologies:,Skills
7,"JavaScript,",Skills
7,"XML,",Skills
7,"HTML,",Skills
7,Webservice,Skills
7,Operating,Skills
7,Systems:,Skills
7,"Linux,",Skills
7,Windows,Skills
7,Version,Skills
7,control,Skills
7,system,Skills
7,SVN,Skills
7,&,O
7,Git-Hub,Skills
7,Databases:,Skills
7,Oracle,Skills
7,Middleware:,Skills
7,Web,Skills
7,"logic,",Skills
7,OC4J,Skills
7,Product,Skills
7,FLEXCUBE:,Skills
7,Oracle,Skills
7,FLEXCUBE,Skills
7,Versions,Skills
8,"10.x,",Skills
8,11.x,Skills
8,12.x,Skills
8,h,Companies worked at
8,ttps://www.linkedin.com/in/govardhana-k-61024944/,O
8,Harini,Name
8,Komaravelli,Name
8,Test,Profil
8,Analyst,Profil
8,at,O
8,Oracle,Companies worked at
8,",",O
8,Hyderabad,Location
8,Hyderabad,Location
8,",",O
8,Telangana,O
8,-,O
8,Email,O
8,me,O
8,on,O
8,Indeed:,O
8,indeed.com/r/Harini-,O
8,Komaravelli/2659eee82e435d1b,O
8,?,O
8,6,Duration
9,Yrs,Duration
9,.,O
9,of,O
9,IT,O
9,Duration,O
9,in,O
9,Manual,Profil
9,and,Profil
9,Automation,Profil
9,testing.,Profil
9,WORK,O
9,EXPERIENCE,O
9,QA,Profil
9,Analyst,Profil
9,Oracle,Companies worked at
9,Test,Profil
9,Analyst,Profil
9,at,O
9,Oracle,Companies worked at
9,",",O
9,Hyderabad,Location
9,Infosys,O
9,Ltd,O
9,-,O
9,Hyderabad,Location
10,",",O
10,Telangana,O
10,-,O
10,November,O
10,2011,O
10,to,O
10,February,O
10,2016,O
10,Hyderabad,Location
10,from,O
10,Nov,O
10,2011,O
10,to,O
10,Feb17,O
10,2016,O
10,?,O
10,Worked,O
10,in,O
10,Tata,O
10,Consultancy,O
10,"Services,",O
10,Hyderabad,Location
10,from,O
10,Feb,O
10,24,O
11,to,O
11,Apr,O
11,11,O
11,2017,O
11,?,O
11,Currently,O
11,working,O
11,as,O
11,a,O
11,Test,Profil
11,Analyst,Profil
11,at,O
11,Oracle,Companies worked at
11,",",O
11,Hyderabad,Location
11,QA,Profil
11,Analyst,Profil
11,with,O
11,6,Duration
11,years,Duration
11,of,O
11,IT,O
